Nazwa;id;Rok;Zasiêg ubóstwa (%);PKB per capita;Wyn brutto;Bezr rej;Obci¹¿ demo;Wsk urb;Lud miejska;Mieszkania na 1000 mieszkañców;Nak³ady inwestycyjne sek pry;Wy¿ wyk;Wsp fem;Wsk zat kob;Inflacja;Infl (¿yw);Infl (miesz);Eme i ren brutto;Eme i rent brutto rel do przec wyn brutto;Wyd pomspol
MAZOWIECKIE;7;2020;15,5 ;98747;6581,81;5,2;68,8;64,6;3564563;437,1;72,2;39,2;109;47,5;3,3;4,9;5;2487,78;0,41;74655545,49
MAZOWIECKIE;7;2021;13,9 ;109612;7108,2;4,7;69,6;64,6;3562406;443,3;74,7;40;109;50,7;4,9;3,1;6,1;2664,09;0,41;59969787,55
MAZOWIECKIE;7;2022;10,6 ;126381;7913,14;4,3;70,3;64,7;3562901;450,6;74,4;40,6;109;52;13,5;15,2;16,4;2922,54;0,41;58528534,41
MAZOWIECKIE;7;2023;11,5 ;142761;8928,6;4;70,8;64,6;3562270;458;72,2;43,7;109;53,1;11,9;15,3;15,1;3436,3;0,42;85660188,47
MAZOWIECKIE;7;2024;10,2 ;153228;10018,71;4;70,8;64,8;3569116;464,8;73,8;45,2;109;52,6;3,8;3,8;4,6;3 923,99;0,43;92547793,51
OPOLSKIE;8;2019;14,6 ;49493;4712,47;5,8;63,1;53,2;523148;366,3;66,9;23,2;107;43,7;2,3;5,1;0,7;2228,55;0,51;8920005,6
OPOLSKIE;8;2020;14,4 ;51572;5078,51;6,9;65,5;53,2;508616;377;60,4;24,3;107;44,3;3,1;4,5;5,3;2354,95;0,51;16782454,08
OPOLSKIE;8;2021;10,1 ;60138;5492,82;6,4;66,9;53;503095;382,5;62,4;24,4;107;48,5;5,2;3,3;7,4;2520,79;0,5;13909360,45
OPOLSKIE;8;2022;12,1 ;66678;6134,18;5,9;68,3;52,9;498469;388;65;24,6;107;47,8;15,8;15,5;26,3;2754,55;0,49;21289480,89
OPOLSKIE;8;2023;10,7 ;72963;6975,81;5,9;69,5;52,7;494029;393,5;65,2;26,6;107;47,6;10,2;15;10,9;3233,65;0,5;14292280,31
OPOLSKIE;8;2024;12,4 ;78488;7958,35;5,9;70,5;52,8;490784;398,9;73,1;28,6;107;47,1;2,8;2,8;1,9;3 701,66;0,51;24097955,29
PODKARPACKIE;9;2019;19,4 ;43396;4388,16;7,9;62,7;41,4;880609;319,1;61,6;25,7;104;38,7;2,3;4,6;1,6;1997,28;0,5;27246165,27
PODKARPACKIE;9;2020;19,3 ;45460;4707,81;9,1;66,1;41,1;862508;332;53,5;26,2;104;39,6;3,2;4,7;5,1;2120,64;0,49;60789526,81
PODKARPACKIE;9;2021;17,6 ;52000;5172,11;9,9;67;41,2;859209;337,2;51,3;26,2;104;39,5;4,6;2,9;5,1;2269,05;0,48;22400306,71
PODKARPACKIE;9;2022;17,4 ;58221;5662,53;8,8;68;41,1;854227;342,9;63,6;26,2;104;40,6;13,6;15,1;16,9;2479,68;0,48;26207065,25
